source,candidate,resolution,artifact_group,coverage_conditioned,mode,threshold,contract,images,valid_gt,scored_gt,tp,fp,fn,neutralized,f1
VisDrone,Y11m,640,vd_y11m,False,normalized,0.015,F,548,17040,15297,13406,2317,1891,0,0.8643455834945196
VisDrone,Y11m,640,vd_y11m,False,normalized,0.015,R,548,17040,15297,13406,2005,1891,312,0.8731275237723068
VisDrone,Y11m,640,vd_y11m,False,normalized,0.015,S,548,17040,15297,13406,1659,1891,658,0.8830775311244319
VisDrone,Y11n-P2,1280,vd_y11np2,False,absolute,24.0,A,548,17040,17040,13426,2389,3614,0,0.8172880840054786
VisDrone,Y11n-P2,1280,vd_y11np2,False,absolute,24.0,F,548,17040,12496,10579,5236,1917,0,0.7473420225354103
VisDrone,Y11n-P2,1280,vd_y11np2,False,absolute,24.0,R,548,17040,12496,10579,2128,1917,3108,0.8395032337420149
VisDrone,Y11n-P2,1280,vd_y11np2,False,absolute,24.0,S,548,17040,12496,10579,1660,1917,3576,0.8553871032949262
VisDrone,Y11n-P2,1280,vd_y11np2,False,normalized,0.015,A,548,17040,17040,13426,2389,3614,0,0.8172880840054786
VisDrone,Y11n-P2,1280,vd_y11np2,False,normalized,0.015,F,548,17040,15297,12664,3151,2633,0,0.8140910259706865
VisDrone,Y11n-P2,1280,vd_y11np2,False,normalized,0.015,R,548,17040,15297,12664,2346,2633,805,0.8357145213976969
VisDrone,Y11n-P2,1280,vd_y11np2,False,normalized,0.015,S,548,17040,15297,12664,1877,2633,1274,0.8488504591460554
