candidate,short_candidate,rule_id,coordinate,threshold,stratifier,stratum,stratum_order,delta_target,delta_removed,delta_source,contract_range,images,scored_gt_terminal
visdrone_control_baseline640,B-640,absolute_max_side,absolute,24.0,density,moderate,1,-0.03267546291498857,0.050001651263015146,0.01450452694454396,0.0645061782075591,180,3991
visdrone_control_baseline640,B-640,absolute_max_side,absolute,24.0,density,sparse,0,-0.03447171070216615,0.04697739826900105,0.014380096948959253,0.0613574952179603,187,1322
visdrone_control_baseline640,B-640,absolute_max_side,absolute,24.0,nearest_neighbor,crowded,0,-0.056427321348266335,0.10532433330835345,0.00796773651579552,0.11329206982414897,170,5100
visdrone_control_baseline640,B-640,absolute_max_side,absolute,24.0,nearest_neighbor,dispersed,2,-0.012436935483397193,0.017303717964485488,0.013776231459439736,0.031079949423925224,170,2665
visdrone_control_baseline640,B-640,absolute_max_side,absolute,24.0,nearest_neighbor,intermediate,1,-0.03889164435747572,0.04334662997966143,0.008400320719606946,0.05174695069926838,170,4723
visdrone_control_baseline640,B-640,absolute_max_side,absolute,24.0,occlusion,high,2,-0.03023369175825641,0.0620773757090769,0.00746322537653521,0.06954060108561211,172,5301
visdrone_control_baseline640,B-640,absolute_max_side,absolute,24.0,occlusion,low,0,-0.04224819465875951,0.06584965263932285,0.008204937284767122,0.07405458992408998,181,3286
visdrone_control_baseline640,B-640,absolute_max_side,absolute,24.0,occlusion,middle,1,-0.03985251251345412,0.07335418291622198,0.012681249003075323,0.0860354319192973,166,3909
visdrone_control_baseline640,B-640,absolute_max_side,absolute,24.0,target_size,large,2,-0.0034943299406204886,0.005162535021881021,0.006715364739482865,0.011877899761363886,168,3618
visdrone_control_baseline640,B-640,absolute_max_side,absolute,24.0,target_size,medium,1,-0.033100488540983686,0.04079503600601908,0.010611483673264255,0.051406519679283336,173,5037
visdrone_control_baseline640,B-640,absolute_max_side,absolute,24.0,target_size,small,0,-0.08536395075018344,0.13803546939421985,0.009824398083322805,0.14785986747754265,178,3841
visdrone_control_baseline640,B-640,normalized_max_side,normalized,0.015,density,dense,2,0.023622408844758525,0.012187917369390733,0.004591299036896035,0.04040162525104529,181,9080
visdrone_control_baseline640,B-640,normalized_max_side,normalized,0.015,density,moderate,1,0.009358729824040513,0.004772556256303795,0.01258818177416976,0.026719467854514067,180,4688
visdrone_control_baseline640,B-640,normalized_max_side,normalized,0.015,density,sparse,0,0.004764273842559286,0.0049942642690552486,0.012900951991182685,0.02265949010279722,187,1529
visdrone_control_baseline640,B-640,normalized_max_side,normalized,0.015,nearest_neighbor,crowded,0,0.03082231339188235,0.017201953086282584,0.006024022332586032,0.054048288810750966,170,7074
visdrone_control_baseline640,B-640,normalized_max_side,normalized,0.015,nearest_neighbor,dispersed,2,0.0008453232591163484,0.0008998876517253285,0.013109237551429787,0.014854448462271463,170,2812
visdrone_control_baseline640,B-640,normalized_max_side,normalized,0.015,nearest_neighbor,intermediate,1,0.00299005153417653,0.00258597146081585,0.007556388957470017,0.013132411952462397,170,5402
visdrone_control_baseline640,B-640,normalized_max_side,normalized,0.015,occlusion,high,2,0.019556952154071605,0.007648503837481835,0.006217598721945827,0.03342305471349927,172,6563
visdrone_control_baseline640,B-640,normalized_max_side,normalized,0.015,occlusion,low,0,0.010896738071991652,0.009097077982496371,0.007008125830977541,0.027001941885465564,181,3916
visdrone_control_baseline640,B-640,normalized_max_side,normalized,0.015,occlusion,middle,1,0.020556679563495606,0.011566853091537377,0.010628874639313168,0.04275240729434615,166,4818
visdrone_control_baseline640,B-640,normalized_max_side,normalized,0.015,target_size,large,2,-5.629360404391104e-05,0.00033338040618635656,0.006610587782726163,0.006943968188912519,168,3680
visdrone_control_baseline640,B-640,normalized_max_side,normalized,0.015,target_size,medium,1,0.005610258113574074,0.0026291755928341543,0.009481730342509653,0.01772116404891788,173,5746
visdrone_control_baseline640,B-640,normalized_max_side,normalized,0.015,target_size,small,0,0.03397595767178563,0.02089237855048831,0.00687993801744502,0.06174827423971896,178,5871
visdrone_control_yolo11m_hf640,Y11m,absolute_max_side,absolute,24.0,density,dense,2,-0.029438625182191314,0.08617275006455427,0.0072769127934394495,0.09344966285799372,181,7183
visdrone_control_yolo11m_hf640,Y11m,absolute_max_side,absolute,24.0,density,moderate,1,-0.03554951507337545,0.05593344922936916,0.018265927232281376,0.07419937646165053,180,3991
visdrone_control_yolo11m_hf640,Y11m,absolute_max_side,absolute,24.0,density,sparse,0,-0.031757832567014366,0.04887375558255469,0.017614277113486176,0.06648803269604087,187,1322
visdrone_control_yolo11m_hf640,Y11m,absolute_max_side,absolute,24.0,nearest_neighbor,crowded,0,-0.041780796090965966,0.11767728725560411,0.009841737461718791,0.1275190247173229,170,5100
visdrone_control_yolo11m_hf640,Y11m,absolute_max_side,absolute,24.0,nearest_neighbor,dispersed,2,-0.014462308838768756,0.01847757337892142,0.015044483950591214,0.03352205732951263,170,2665
visdrone_control_yolo11m_hf640,Y11m,absolute_max_side,absolute,24.0,nearest_neighbor,intermediate,1,-0.04055459811387685,0.047835771439527885,0.012337160899424715,0.0601729323389526,170,4723
visdrone_control_yolo11m_hf640,Y11m,absolute_max_side,absolute,24.0,occlusion,high,2,-0.021506619046398723,0.06941588657947262,0.008670673464947876,0.0780865600444205,172,5301
visdrone_control_yolo11m_hf640,Y11m,absolute_max_side,absolute,24.0,occlusion,low,0,-0.042191062341657926,0.06937943496202958,0.01011314498121385,0.07949257994324344,181,3286
visdrone_control_yolo11m_hf640,Y11m,absolute_max_side,absolute,24.0,occlusion,middle,1,-0.03513427684277459,0.07975922953231251,0.01771502740319819,0.0974742569355107,166,3909
visdrone_control_yolo11m_hf640,Y11m,absolute_max_side,absolute,24.0,target_size,large,2,-0.0031335748538241504,0.005170034111365296,0.0059640802389915315,0.011134114350356827,168,3618
visdrone_control_yolo11m_hf640,Y11m,absolute_max_side,absolute,24.0,target_size,medium,1,-0.032369506717122576,0.04507684370097653,0.014632487083192758,0.05970933078416929,173,5037
visdrone_control_yolo11m_hf640,Y11m,absolute_max_side,absolute,24.0,target_size,small,0,-0.07246812790924573,0.15208188110496867,0.013733143739300013,0.1658150248442687,178,3841
visdrone_control_yolo11m_hf640,Y11m,normalized_max_side,normalized,0.015,density,dense,2,0.033483265751588,0.01214727952641148,0.005933918226639356,0.051564463504638836,181,9080
visdrone_control_yolo11m_hf640,Y11m,normalized_max_side,normalized,0.015,density,moderate,1,0.013083301797169988,0.004123477437343648,0.015839441184688496,0.03304622041920213,180,4688
visdrone_control_yolo11m_hf640,Y11m,normalized_max_side,normalized,0.015,density,sparse,0,0.011777608239557535,0.0033120802738508814,0.015511773803459361,0.030601462316867778,187,1529
visdrone_control_yolo11m_hf640,Y11m,normalized_max_side,normalized,0.015,nearest_neighbor,crowded,0,0.046199284875487856,0.016530162553592298,0.007384950251216216,0.07011439768029637,170,7074
visdrone_control_yolo11m_hf640,Y11m,normalized_max_side,normalized,0.015,nearest_neighbor,dispersed,2,0.001338076917643427,0.00092978645431252,0.014340857682175301,0.016608721054131248,170,2812
visdrone_control_yolo11m_hf640,Y11m,normalized_max_side,normalized,0.015,nearest_neighbor,intermediate,1,0.004815602536760943,0.002561604267456885,0.010972202988809743,0.01834940979302757,170,5402
visdrone_control_yolo11m_hf640,Y11m,normalized_max_side,normalized,0.015,occlusion,high,2,0.026827586830570405,0.007221866972470847,0.007143546921420385,0.04119300072446164,172,6563
visdrone_control_yolo11m_hf640,Y11m,normalized_max_side,normalized,0.015,occlusion,low,0,0.017953918119943957,0.007942534677589763,0.008659488815832561,0.03455594161336628,181,3916
visdrone_control_yolo11m_hf640,Y11m,normalized_max_side,normalized,0.015,occlusion,middle,1,0.02896169831143003,0.011528259248300032,0.014784534563329843,0.055274492123059904,166,4818
visdrone_control_yolo11m_hf640,Y11m,normalized_max_side,normalized,0.015,target_size,large,2,2.0324937182181202e-05,0.00047620883931598357,0.005874444104012833,0.006370977880510997,168,3680
visdrone_control_yolo11m_hf640,Y11m,normalized_max_side,normalized,0.015,target_size,medium,1,0.0070689598449169555,0.002557486260638675,0.013014269215006924,0.022640715320562554,173,5746
visdrone_control_yolo11m_hf640,Y11m,normalized_max_side,normalized,0.015,target_size,small,0,0.05180382036815223,0.019764362834841287,0.009486058146689236,0.08105424134968275,178,5871
visdrone_control_yolo11n_p2_1280,Y11n-P2,absolute_max_side,absolute,24.0,density,dense,2,-0.08180085314311658,0.11255533243493598,0.013945583638690584,0.12650091607362657,181,7183
visdrone_control_yolo11n_p2_1280,Y11n-P2,absolute_max_side,absolute,24.0,density,moderate,1,-0.05390338651147375,0.06534403382696696,0.019295408518160695,0.08463944234512766,180,3991
visdrone_control_yolo11n_p2_1280,Y11n-P2,absolute_max_side,absolute,24.0,density,sparse,0,-0.050727918596419785,0.055987532240474924,0.01611984918430609,0.07210738142478101,187,1322
visdrone_control_yolo11n_p2_1280,Y11n-P2,absolute_max_side,absolute,24.0,nearest_neighbor,crowded,0,-0.11875644800117946,0.15302947579404125,0.01712922360571567,0.17015869939975692,170,5100
visdrone_control_yolo11n_p2_1280,Y11n-P2,absolute_max_side,absolute,24.0,nearest_neighbor,dispersed,2,-0.017166753659543676,0.019743370741541755,0.014886432072275912,0.03462980281381767,170,2665
visdrone_control_yolo11n_p2_1280,Y11n-P2,absolute_max_side,absolute,24.0,nearest_neighbor,intermediate,1,-0.04773213849152136,0.05284489026434236,0.015086192598051107,0.06793108286239347,170,4723
visdrone_control_yolo11n_p2_1280,Y11n-P2,absolute_max_side,absolute,24.0,occlusion,high,2,-0.06871830335780926,0.09273212426192678,0.013401681100356555,0.10613380536228334,172,5301
visdrone_control_yolo11n_p2_1280,Y11n-P2,absolute_max_side,absolute,24.0,occlusion,low,0,-0.06697708944258285,0.08197029655063148,0.013496370287307102,0.09546666683793859,181,3286
visdrone_control_yolo11n_p2_1280,Y11n-P2,absolute_max_side,absolute,24.0,occlusion,middle,1,-0.0751738385420605,0.09933883321393822,0.021284414633781945,0.12062324784772016,166,3909
visdrone_control_yolo11n_p2_1280,Y11n-P2,absolute_max_side,absolute,24.0,target_size,large,2,-0.004655163507624405,0.006244090172394023,0.006816921970543399,0.013061012142937423,168,3618
visdrone_control_yolo11n_p2_1280,Y11n-P2,absolute_max_side,absolute,24.0,target_size,medium,1,-0.046967737601397275,0.05257454458751465,0.01761515310971118,0.07018969769722583,173,5037
