candidate,short_candidate,rule_id,coordinate,threshold,stratifier,stratum,stratum_order,images,scored_gt,tp,fp,fn,false_positives_per_image,false_negatives_per_100_scored_vehicles,confirmed_vehicles_per_100_scored_alerts,f1
visdrone_control_baseline640,B-640,normalized_max_side,normalized,0.015,density,dense,2,181,9080,7182,1724,1898,9.524861878453038,20.90308370044053,80.64226364248822,0.7986211497831647
visdrone_control_baseline640,B-640,normalized_max_side,normalized,0.015,density,moderate,1,180,4688,3740,687,948,3.816666666666667,20.22184300341297,84.48159024169867,0.8206253428414702
visdrone_control_baseline640,B-640,normalized_max_side,normalized,0.015,density,sparse,0,187,1529,1211,238,318,1.2727272727272727,20.79790712884238,83.57487922705315,0.8132975151108126
visdrone_control_baseline640,B-640,normalized_max_side,normalized,0.015,nearest_neighbor,crowded,0,170,7074,5276,1287,1798,7.570588235294117,25.417020073508624,80.39006551881761,0.7737772237295593
visdrone_control_baseline640,B-640,normalized_max_side,normalized,0.015,nearest_neighbor,dispersed,2,170,2812,2451,365,361,2.1470588235294117,12.837837837837839,87.03835227272727,0.8710021321961621
visdrone_control_baseline640,B-640,normalized_max_side,normalized,0.015,nearest_neighbor,intermediate,1,170,5402,4400,993,1002,5.841176470588235,18.54868567197334,81.5872427220471,0.8151922186197313
visdrone_control_baseline640,B-640,normalized_max_side,normalized,0.015,occlusion,high,2,172,6563,4988,1253,1575,7.284883720930233,23.998171567880544,79.92308924851787,0.7791315213995627
visdrone_control_baseline640,B-640,normalized_max_side,normalized,0.015,occlusion,low,0,181,3916,3341,583,575,3.2209944751381214,14.683350357507662,85.1427115188583,0.852295918367347
visdrone_control_baseline640,B-640,normalized_max_side,normalized,0.015,occlusion,middle,1,166,4818,3804,812,1014,4.891566265060241,21.046077210460773,82.40901213171577,0.8064447742209031
visdrone_control_baseline640,B-640,normalized_max_side,normalized,0.015,target_size,large,2,168,3680,3187,646,493,3.8452380952380953,13.396739130434783,83.14636055309157,0.848396113403434
visdrone_control_baseline640,B-640,normalized_max_side,normalized,0.015,target_size,medium,1,173,5746,4651,1044,1095,6.034682080924855,19.056735120083538,81.66812993854258,0.813040818110305
visdrone_control_baseline640,B-640,normalized_max_side,normalized,0.015,target_size,small,0,178,5871,4295,958,1576,5.382022471910112,26.84380855050247,81.76280220826195,0.7722042430780295
visdrone_control_yolo11m_hf640,Y11m,absolute_max_side,absolute,24.0,density,dense,2,181,7183,6530,963,653,5.320441988950276,9.090909090909092,87.14800480448419,0.8898882529299537
visdrone_control_yolo11m_hf640,Y11m,absolute_max_side,absolute,24.0,density,moderate,1,180,3991,3672,496,319,2.7555555555555555,7.992984214482586,88.09980806142035,0.9001103076357396
visdrone_control_yolo11m_hf640,Y11m,absolute_max_side,absolute,24.0,density,sparse,0,187,1322,1199,188,123,1.0053475935828877,9.304084720121029,86.44556596971881,0.8851974898486527
visdrone_control_yolo11m_hf640,Y11m,absolute_max_side,absolute,24.0,nearest_neighbor,crowded,0,170,5100,4526,733,574,4.311764705882353,11.254901960784315,86.06198897128732,0.8738295202239599
visdrone_control_yolo11m_hf640,Y11m,absolute_max_side,absolute,24.0,nearest_neighbor,dispersed,2,170,2665,2509,290,156,1.7058823529411764,5.853658536585366,89.63915684172919,0.9183748169838946
visdrone_control_yolo11m_hf640,Y11m,absolute_max_side,absolute,24.0,nearest_neighbor,intermediate,1,170,4723,4360,618,363,3.635294117647059,7.685792928223587,87.58537565287264,0.898876404494382
visdrone_control_yolo11m_hf640,Y11m,absolute_max_side,absolute,24.0,occlusion,high,2,172,5301,4735,721,566,4.191860465116279,10.677230711186569,86.78519061583577,0.8803569768522822
visdrone_control_yolo11m_hf640,Y11m,absolute_max_side,absolute,24.0,occlusion,low,0,181,3286,3110,403,176,2.226519337016575,5.356055995130858,88.52832337033874,0.9148404177084866
visdrone_control_yolo11m_hf640,Y11m,absolute_max_side,absolute,24.0,occlusion,middle,1,166,3909,3556,519,353,3.1265060240963853,9.030442568431823,87.2638036809816,0.8907815631262525
visdrone_control_yolo11m_hf640,Y11m,absolute_max_side,absolute,24.0,target_size,large,2,168,3618,3410,433,208,2.5773809523809526,5.749032614704256,88.73276086390841,0.9140865835678863
visdrone_control_yolo11m_hf640,Y11m,absolute_max_side,absolute,24.0,target_size,medium,1,173,5037,4609,618,428,3.5722543352601157,8.497121302362517,88.17677444040558,0.8980904130943103
visdrone_control_yolo11m_hf640,Y11m,absolute_max_side,absolute,24.0,target_size,small,0,178,3841,3382,592,459,3.3258426966292136,11.950013017443375,85.10317060895822,0.8655150351887396
visdrone_control_yolo11m_hf640,Y11m,normalized_max_side,normalized,0.015,density,dense,2,181,9080,7861,977,1219,5.397790055248619,13.42511013215859,88.94546277438334,0.8774416787587901
visdrone_control_yolo11m_hf640,Y11m,normalized_max_side,normalized,0.015,density,moderate,1,180,4688,4193,494,495,2.7444444444444445,10.55887372013652,89.46020908896949,0.8945066666666667
visdrone_control_yolo11m_hf640,Y11m,normalized_max_side,normalized,0.015,density,sparse,0,187,1529,1352,188,177,1.0053475935828877,11.57619359058208,87.79220779220779,0.8810687520364939
visdrone_control_yolo11m_hf640,Y11m,normalized_max_side,normalized,0.015,nearest_neighbor,crowded,0,170,7074,5883,753,1191,4.429411764705883,16.83630195080577,88.65280289330923,0.8582056892778993
visdrone_control_yolo11m_hf640,Y11m,normalized_max_side,normalized,0.015,nearest_neighbor,dispersed,2,170,2812,2620,289,192,1.7,6.827880512091038,90.0653145410794,0.9159237895472819
visdrone_control_yolo11m_hf640,Y11m,normalized_max_side,normalized,0.015,nearest_neighbor,intermediate,1,170,5402,4896,611,506,3.5941176470588236,9.366901147723066,88.90502996186672,0.8976074800623338
visdrone_control_yolo11m_hf640,Y11m,normalized_max_side,normalized,0.015,occlusion,high,2,172,6563,5557,729,1006,4.238372093023256,15.328355934785922,88.40279987273306,0.8649700365787221
visdrone_control_yolo11m_hf640,Y11m,normalized_max_side,normalized,0.015,occlusion,low,0,181,3916,3616,397,300,2.1933701657458564,7.6608784473953015,90.10715175679043,0.9120948417202673
visdrone_control_yolo11m_hf640,Y11m,normalized_max_side,normalized,0.015,occlusion,middle,1,166,4818,4233,529,585,3.1867469879518073,12.141967621419676,88.89122217555649,0.8837160751565762
