candidate,short_candidate,rule_id,coordinate,threshold,stratifier,stratum,stratum_order,contract,images,valid_gt,scored_gt,tp,fp,fn,neutralized,f1,false_positives_per_image,false_negatives_per_100_scored_vehicles,confirmed_vehicles_per_100_scored_alerts
visdrone_control_asd1280,ASD,absolute_max_side,absolute,24.0,target_size,large,2,R,168,3689,3618,3379,596,239,59,0.890030291057553,3.5476190476190474,6.605859590934218,85.00628930817611
visdrone_control_asd1280,ASD,absolute_max_side,absolute,24.0,target_size,large,2,S,168,3689,3618,3379,521,239,134,0.8989092843841447,3.1011904761904763,6.605859590934218,86.64102564102564
visdrone_control_asd1280,ASD,absolute_max_side,absolute,24.0,target_size,medium,1,A,173,5926,5926,5229,1096,697,0,0.8536446004407804,6.335260115606936,11.76172797840027,82.67193675889328
visdrone_control_asd1280,ASD,absolute_max_side,absolute,24.0,target_size,medium,1,F,173,5926,5037,4551,1774,486,0,0.8010913571554303,10.254335260115607,9.64860035735557,71.95256916996047
visdrone_control_asd1280,ASD,absolute_max_side,absolute,24.0,target_size,medium,1,R,173,5926,5037,4551,1068,486,706,0.8541666666666666,6.173410404624278,9.64860035735557,80.99305926321409
visdrone_control_asd1280,ASD,absolute_max_side,absolute,24.0,target_size,medium,1,S,173,5926,5037,4551,866,486,908,0.8706715132963458,5.005780346820809,9.64860035735557,84.01329148975448
visdrone_control_asd1280,ASD,absolute_max_side,absolute,24.0,target_size,small,0,A,178,7425,7425,5636,1173,1789,0,0.7919067022621892,6.589887640449438,24.094276094276093,82.77280070494933
visdrone_control_asd1280,ASD,absolute_max_side,absolute,24.0,target_size,small,0,F,178,7425,3841,3342,3467,499,0,0.6276056338028169,19.47752808988764,12.99140848737308,49.08209722426201
visdrone_control_asd1280,ASD,absolute_max_side,absolute,24.0,target_size,small,0,R,178,7425,3841,3342,989,499,2478,0.8179148311306902,5.556179775280899,12.99140848737308,77.16462710690372
visdrone_control_asd1280,ASD,absolute_max_side,absolute,24.0,target_size,small,0,S,178,7425,3841,3342,762,499,2705,0.8412838263058527,4.280898876404494,12.99140848737308,81.4327485380117
visdrone_control_asd1280,ASD,normalized_max_side,normalized,0.015,density,dense,2,A,181,10478,10478,8632,1739,1846,0,0.8280493069211953,9.607734806629834,17.617866004962778,83.23208948028156
visdrone_control_asd1280,ASD,normalized_max_side,normalized,0.015,density,dense,2,F,181,10478,9080,8028,2343,1052,0,0.8254588453035834,12.94475138121547,11.58590308370044,77.40815736187446
visdrone_control_asd1280,ASD,normalized_max_side,normalized,0.015,density,dense,2,R,181,10478,9080,8028,1729,1052,614,0.8523650262780698,9.552486187845304,11.58590308370044,82.27938915650303
visdrone_control_asd1280,ASD,normalized_max_side,normalized,0.015,density,dense,2,S,181,10478,9080,8028,1517,1052,826,0.8620671140939598,8.38121546961326,11.58590308370044,84.10686223153483
