confidence,scale_threshold_px,band,source,candidate,domain,scale_threshold_norm
0.35,48.0,0.4621729926391519,uavdt,uavdt_tiling,absolute,
0.35,64.0,0.5032226397340916,uavdt,uavdt_tiling,absolute,
0.4,16.0,0.00017290149728410587,uavdt,uavdt_tiling,absolute,
0.4,20.0,0.0001608812263260706,uavdt,uavdt_tiling,absolute,
0.4,24.0,0.009686219182988287,uavdt,uavdt_tiling,absolute,
0.4,28.0,0.11319117888776964,uavdt,uavdt_tiling,absolute,
0.4,32.0,0.2663427416175164,uavdt,uavdt_tiling,absolute,
0.4,40.0,0.46543271854650897,uavdt,uavdt_tiling,absolute,
0.4,48.0,0.48206863464778454,uavdt,uavdt_tiling,absolute,
0.4,64.0,0.5121121578041091,uavdt,uavdt_tiling,absolute,
0.5,16.0,0.0006765336855271142,uavdt,uavdt_tiling,absolute,
0.5,20.0,0.000991304038986618,uavdt,uavdt_tiling,absolute,
0.5,24.0,0.006001986352816457,uavdt,uavdt_tiling,absolute,
0.5,28.0,0.1038091586588582,uavdt,uavdt_tiling,absolute,
0.5,32.0,0.2589416151189363,uavdt,uavdt_tiling,absolute,
0.5,40.0,0.46711697826910525,uavdt,uavdt_tiling,absolute,
0.5,48.0,0.48289241325643245,uavdt,uavdt_tiling,absolute,
0.5,64.0,0.4956073885990197,uavdt,uavdt_tiling,absolute,
0.1,16.0,0.1626294299524864,aitod,aitod_baseline640,absolute,
0.1,20.0,0.2157422719437293,aitod,aitod_baseline640,absolute,
0.1,24.0,0.2502485152424888,aitod,aitod_baseline640,absolute,
0.1,28.0,0.2637057744968963,aitod,aitod_baseline640,absolute,
0.1,32.0,0.2704840757213875,aitod,aitod_baseline640,absolute,
0.1,40.0,0.27986862060475365,aitod,aitod_baseline640,absolute,
0.1,48.0,0.28587495473094365,aitod,aitod_baseline640,absolute,
0.1,64.0,0.2915423946962272,aitod,aitod_baseline640,absolute,
0.15,16.0,0.1817910232591075,aitod,aitod_baseline640,absolute,
0.15,20.0,0.2435434619965393,aitod,aitod_baseline640,absolute,
0.15,24.0,0.28409730984613646,aitod,aitod_baseline640,absolute,
0.15,28.0,0.299990944292224,aitod,aitod_baseline640,absolute,
0.15,32.0,0.30802767454619806,aitod,aitod_baseline640,absolute,
0.15,40.0,0.3190178144707982,aitod,aitod_baseline640,absolute,
0.15,48.0,0.3260352384066178,aitod,aitod_baseline640,absolute,
0.15,64.0,0.3327937744568619,aitod,aitod_baseline640,absolute,
0.2,16.0,0.19540463192518623,aitod,aitod_baseline640,absolute,
0.2,20.0,0.26401821671860987,aitod,aitod_baseline640,absolute,
0.2,24.0,0.3095618213882698,aitod,aitod_baseline640,absolute,
0.2,28.0,0.3275627494398292,aitod,aitod_baseline640,absolute,
0.2,32.0,0.3366671985464823,aitod,aitod_baseline640,absolute,
0.2,40.0,0.3492401139571212,aitod,aitod_baseline640,absolute,
0.2,48.0,0.3570884347523127,aitod,aitod_baseline640,absolute,
0.2,64.0,0.3648093142008197,aitod,aitod_baseline640,absolute,
0.25,16.0,0.20591551263802552,aitod,aitod_baseline640,absolute,
0.25,20.0,0.28000706432701694,aitod,aitod_baseline640,absolute,
0.25,24.0,0.3303288834765529,aitod,aitod_baseline640,absolute,
0.25,28.0,0.3500239089783707,aitod,aitod_baseline640,absolute,
0.25,32.0,0.3600229626290535,aitod,aitod_baseline640,absolute,
0.25,40.0,0.3741264703298248,aitod,aitod_baseline640,absolute,
0.25,48.0,0.38298541203129244,aitod,aitod_baseline640,absolute,
0.25,64.0,0.3915959100979582,aitod,aitod_baseline640,absolute,
0.3,16.0,0.21273659669389408,aitod,aitod_baseline640,absolute,
0.3,20.0,0.2916985515104852,aitod,aitod_baseline640,absolute,
0.3,24.0,0.3461797752388298,aitod,aitod_baseline640,absolute,
0.3,28.0,0.3677350051457369,aitod,aitod_baseline640,absolute,
0.3,32.0,0.3787858211606862,aitod,aitod_baseline640,absolute,
0.3,40.0,0.39418679467528644,aitod,aitod_baseline640,absolute,
0.3,48.0,0.40402406538004004,aitod,aitod_baseline640,absolute,
0.3,64.0,0.41342022117869315,aitod,aitod_baseline640,absolute,
0.35,16.0,0.21709992906925274,aitod,aitod_baseline640,absolute,
0.35,20.0,0.30082694169120516,aitod,aitod_baseline640,absolute,
0.35,24.0,0.3592766037251867,aitod,aitod_baseline640,absolute,
0.35,28.0,0.38280262291951456,aitod,aitod_baseline640,absolute,
0.35,32.0,0.3951345458161003,aitod,aitod_baseline640,absolute,
0.35,40.0,0.41221712640905656,aitod,aitod_baseline640,absolute,
0.35,48.0,0.4231704214688354,aitod,aitod_baseline640,absolute,
0.35,64.0,0.4337350186036256,aitod,aitod_baseline640,absolute,
0.4,16.0,0.21798280148975455,aitod,aitod_baseline640,absolute,
0.4,20.0,0.30599325261926846,aitod,aitod_baseline640,absolute,
0.4,24.0,0.36800176558297704,aitod,aitod_baseline640,absolute,
0.4,28.0,0.39349405559715944,aitod,aitod_baseline640,absolute,
0.4,32.0,0.40631695597089285,aitod,aitod_baseline640,absolute,
0.4,40.0,0.4249712963712594,aitod,aitod_baseline640,absolute,
