source,candidate,mode,threshold,small_object_policy,matching_greedy,confidence,iou,tp_greedy,fp_greedy,fn_greedy,images,precision_greedy,recall_greedy,f1_greedy,matching_hungarian,tp_hungarian,fp_hungarian,fn_hungarian,precision_hungarian,recall_hungarian,f1_hungarian,f1_delta_hungarian_minus_greedy
visdrone,visdrone_baseline640,normalized,0.015,exclude_with_ignore_protection,greedy_iou,0.25,0.25,12398,38816,1185,548,0.2420822431366423,0.9127585953029522,0.38267203728567684,hungarian_lexicographic_iou,12408,38806,1175,0.24227750224547975,0.9134948096885813,0.38298069355062736,0.00030865626495052423
visdrone,visdrone_baseline640,normalized,0.015,exclude_with_ignore_protection,greedy_iou,0.25,0.5,12043,39171,1540,548,0.23515054477291367,0.8866229846131194,0.3717147398799327,hungarian_lexicographic_iou,12048,39166,1535,0.23524817432733236,0.8869910918059339,0.371869068012408,0.00015432813247528987
visdrone,visdrone_sahi640,absolute,24.0,include_all,greedy_iou,0.25,0.25,14760,6306,2280,548,0.7006550840216462,0.8661971830985915,0.7746811525743976,hungarian_lexicographic_iou,14864,6202,2176,0.7055919491123137,0.8723004694835681,0.7801396105600168,0.0054584579856191695
visdrone,visdrone_sahi640,absolute,24.0,include_all,greedy_iou,0.25,0.5,12845,8221,4195,548,0.6097503085540682,0.7538145539906104,0.6741720463968929,hungarian_lexicographic_iou,12870,8196,4170,0.610937054970094,0.7552816901408451,0.675484175720359,0.001312129323466138
visdrone,visdrone_sahi640,absolute,24.0,exclude_without_ignore_protection,greedy_iou,0.25,0.25,11438,9628,1058,548,0.5429602202601348,0.9153329065300896,0.6816041952207853,hungarian_lexicographic_iou,11512,9554,984,0.5464729896515712,0.9212548015364916,0.6860139443418151,0.00440974912102976
visdrone,visdrone_sahi640,absolute,24.0,exclude_without_ignore_protection,greedy_iou,0.25,0.5,10465,10601,2031,548,0.49677204974840977,0.8374679897567221,0.6236219533996782,hungarian_lexicographic_iou,10489,10577,2007,0.49791132630779456,0.8393886043533931,0.6250521423037959,0.001430188904117724
visdrone,visdrone_sahi640,absolute,24.0,exclude_with_ignore_protection,greedy_iou,0.25,0.25,11438,9586,1058,548,0.544044901065449,0.9153329065300896,0.6824582338902148,hungarian_lexicographic_iou,11512,9512,984,0.5475646879756468,0.9212548015364916,0.6868735083532219,0.004415274463007157
visdrone,visdrone_sahi640,absolute,24.0,exclude_with_ignore_protection,greedy_iou,0.25,0.5,10465,10559,2031,548,0.4977644596651446,0.8374679897567221,0.6244033412887827,hungarian_lexicographic_iou,10489,10535,2007,0.4989060121765601,0.8393886043533931,0.625835322195704,0.0014319809069213152
visdrone,visdrone_sahi640,normalized,0.015,include_all,greedy_iou,0.25,0.25,14760,6306,2280,548,0.7006550840216462,0.8661971830985915,0.7746811525743976,hungarian_lexicographic_iou,14864,6202,2176,0.7055919491123137,0.8723004694835681,0.7801396105600168,0.0054584579856191695
visdrone,visdrone_sahi640,normalized,0.015,include_all,greedy_iou,0.25,0.5,12845,8221,4195,548,0.6097503085540682,0.7538145539906104,0.6741720463968929,hungarian_lexicographic_iou,12870,8196,4170,0.610937054970094,0.7552816901408451,0.675484175720359,0.001312129323466138
visdrone,visdrone_sahi640,normalized,0.015,exclude_without_ignore_protection,greedy_iou,0.25,0.25,12359,8707,1224,548,0.5866799582265262,0.9098873591989988,0.7133827816098589,hungarian_lexicographic_iou,12443,8623,1140,0.590667426184373,0.9160715600382832,0.7182314063897949,0.004848624779935973
visdrone,visdrone_sahi640,normalized,0.015,exclude_without_ignore_protection,greedy_iou,0.25,0.5,11229,9837,2354,548,0.5330390202221589,0.826695133622911,0.6481572339750064,hungarian_lexicographic_iou,11253,9813,2330,0.5341782967815437,0.8284620481484208,0.6495425553407026,0.001385321365696246
visdrone,visdrone_sahi640,normalized,0.015,exclude_with_ignore_protection,greedy_iou,0.25,0.25,12359,8665,1224,548,0.5878519786910198,0.9098873591989988,0.7142485624295664,hungarian_lexicographic_iou,12443,8581,1140,0.5918474124809742,0.9160715600382832,0.7191030716329068,0.004854509203340407
visdrone,visdrone_sahi640,normalized,0.015,exclude_with_ignore_protection,greedy_iou,0.25,0.5,11229,9795,2354,548,0.5341038812785388,0.826695133622911,0.6489438552893922,hungarian_lexicographic_iou,11253,9771,2330,0.5352454337899544,0.8284620481484208,0.6503308579189182,0.0013870026295259574
uavdt,uavdt_baseline640,absolute,24.0,include_all,greedy_iou,0.25,0.25,8525,29803,2529,305,0.22242225005218116,0.7712140401664556,0.3452675063788425,hungarian_lexicographic_iou,8529,29799,2525,0.22252661239824673,0.771575900126651,0.3454295087278766,0.00016200234903407384
uavdt,uavdt_baseline640,absolute,24.0,include_all,greedy_iou,0.25,0.5,7804,30524,3250,305,0.20361093717386766,0.705988782341234,0.316066582965453,hungarian_lexicographic_iou,7804,30524,3250,0.20361093717386766,0.705988782341234,0.316066582965453,0.0
uavdt,uavdt_baseline640,absolute,24.0,exclude_without_ignore_protection,greedy_iou,0.25,0.25,8224,30104,2292,305,0.21456898351074932,0.7820464054773678,0.33674555728441574,hungarian_lexicographic_iou,8228,30100,2288,0.21467334585681486,0.7824267782426778,0.33690934403406764,0.00016378674965189521
uavdt,uavdt_baseline640,absolute,24.0,exclude_without_ignore_protection,greedy_iou,0.25,0.5,7555,30773,2961,305,0.19711438113128782,0.7184290604792697,0.3093522234051265,hungarian_lexicographic_iou,7555,30773,2961,0.19711438113128782,0.7184290604792697,0.3093522234051265,0.0
uavdt,uavdt_baseline640,absolute,24.0,exclude_with_ignore_protection,greedy_iou,0.25,0.25,8224,30104,2292,305,0.21456898351074932,0.7820464054773678,0.33674555728441574,hungarian_lexicographic_iou,8228,30100,2288,0.21467334585681486,0.7824267782426778,0.33690934403406764,0.00016378674965189521
uavdt,uavdt_baseline640,absolute,24.0,exclude_with_ignore_protection,greedy_iou,0.25,0.5,7555,30773,2961,305,0.19711438113128782,0.7184290604792697,0.3093522234051265,hungarian_lexicographic_iou,7555,30773,2961,0.19711438113128782,0.7184290604792697,0.3093522234051265,0.0
uavdt,uavdt_baseline640,normalized,0.015,include_all,greedy_iou,0.25,0.25,8525,29803,2529,305,0.22242225005218116,0.7712140401664556,0.3452675063788425,hungarian_lexicographic_iou,8529,29799,2525,0.22252661239824673,0.771575900126651,0.3454295087278766,0.00016200234903407384
uavdt,uavdt_baseline640,normalized,0.015,include_all,greedy_iou,0.25,0.5,7804,30524,3250,305,0.20361093717386766,0.705988782341234,0.316066582965453,hungarian_lexicographic_iou,7804,30524,3250,0.20361093717386766,0.705988782341234,0.316066582965453,0.0
uavdt,uavdt_baseline640,normalized,0.015,exclude_without_ignore_protection,greedy_iou,0.25,0.25,6329,31999,1914,305,0.16512732206219996,0.7678029843503579,0.2718000472396986,hungarian_lexicographic_iou,6330,31998,1913,0.16515341264871633,0.7679242994055562,0.2718429924201756,4.294518047703866e-05
uavdt,uavdt_baseline640,normalized,0.015,exclude_without_ignore_protection,greedy_iou,0.25,0.5,5759,32569,2484,305,0.15025568774786058,0.6986534028872983,0.24732129436773959,hungarian_lexicographic_iou,5759,32569,2484,0.15025568774786058,0.6986534028872983,0.24732129436773959,0.0
uavdt,uavdt_baseline640,normalized,0.015,exclude_with_ignore_protection,greedy_iou,0.25,0.25,6329,31999,1914,305,0.16512732206219996,0.7678029843503579,0.2718000472396986,hungarian_lexicographic_iou,6330,31998,1913,0.16515341264871633,0.7679242994055562,0.2718429924201756,4.294518047703866e-05
uavdt,uavdt_baseline640,normalized,0.015,exclude_with_ignore_protection,greedy_iou,0.25,0.5,5759,32569,2484,305,0.15025568774786058,0.6986534028872983,0.24732129436773959,hungarian_lexicographic_iou,5759,32569,2484,0.15025568774786058,0.6986534028872983,0.24732129436773959,0.0
uavdt,uavdt_yolo11n640,absolute,24.0,include_all,greedy_iou,0.25,0.25,63,5,10991,305,0.9264705882352942,0.005699294373077619,0.011328897680273333,hungarian_lexicographic_iou,63,5,10991,0.9264705882352942,0.005699294373077619,0.011328897680273333,0.0
uavdt,uavdt_yolo11n640,absolute,24.0,include_all,greedy_iou,0.25,0.5,58,10,10996,305,0.8529411764705882,0.005246969422833364,0.010429778816759576,hungarian_lexicographic_iou,58,10,10996,0.8529411764705882,0.005246969422833364,0.010429778816759576,0.0
uavdt,uavdt_yolo11n640,absolute,24.0,exclude_without_ignore_protection,greedy_iou,0.25,0.25,63,5,10453,305,0.9264705882352942,0.00599087105363256,0.011904761904761906,hungarian_lexicographic_iou,63,5,10453,0.9264705882352942,0.00599087105363256,0.011904761904761906,0.0
uavdt,uavdt_yolo11n640,absolute,24.0,exclude_without_ignore_protection,greedy_iou,0.25,0.5,58,10,10458,305,0.8529411764705882,0.005515405096995055,0.010959939531368102,hungarian_lexicographic_iou,58,10,10458,0.8529411764705882,0.005515405096995055,0.010959939531368102,0.0
uavdt,uavdt_yolo11n640,absolute,24.0,exclude_with_ignore_protection,greedy_iou,0.25,0.25,63,5,10453,305,0.9264705882352942,0.00599087105363256,0.011904761904761906,hungarian_lexicographic_iou,63,5,10453,0.9264705882352942,0.00599087105363256,0.011904761904761906,0.0
uavdt,uavdt_yolo11n640,absolute,24.0,exclude_with_ignore_protection,greedy_iou,0.25,0.5,58,10,10458,305,0.8529411764705882,0.005515405096995055,0.010959939531368102,hungarian_lexicographic_iou,58,10,10458,0.8529411764705882,0.005515405096995055,0.010959939531368102,0.0
uavdt,uavdt_yolo11n640,normalized,0.015,include_all,greedy_iou,0.25,0.25,63,5,10991,305,0.9264705882352942,0.005699294373077619,0.011328897680273333,hungarian_lexicographic_iou,63,5,10991,0.9264705882352942,0.005699294373077619,0.011328897680273333,0.0
uavdt,uavdt_yolo11n640,normalized,0.015,include_all,greedy_iou,0.25,0.5,58,10,10996,305,0.8529411764705882,0.005246969422833364,0.010429778816759576,hungarian_lexicographic_iou,58,10,10996,0.8529411764705882,0.005246969422833364,0.010429778816759576,0.0
uavdt,uavdt_yolo11n640,normalized,0.015,exclude_without_ignore_protection,greedy_iou,0.25,0.25,63,5,8180,305,0.9264705882352942,0.007642848477496057,0.015160630489712428,hungarian_lexicographic_iou,63,5,8180,0.9264705882352942,0.007642848477496057,0.015160630489712428,0.0
uavdt,uavdt_yolo11n640,normalized,0.015,exclude_without_ignore_protection,greedy_iou,0.25,0.5,58,10,8185,305,0.8529411764705882,0.007036273201504306,0.013957405847671758,hungarian_lexicographic_iou,58,10,8185,0.8529411764705882,0.007036273201504306,0.013957405847671758,0.0
uavdt,uavdt_yolo11n640,normalized,0.015,exclude_with_ignore_protection,greedy_iou,0.25,0.25,63,5,8180,305,0.9264705882352942,0.007642848477496057,0.015160630489712428,hungarian_lexicographic_iou,63,5,8180,0.9264705882352942,0.007642848477496057,0.015160630489712428,0.0
uavdt,uavdt_yolo11n640,normalized,0.015,exclude_with_ignore_protection,greedy_iou,0.25,0.5,58,10,8185,305,0.8529411764705882,0.007036273201504306,0.013957405847671758,hungarian_lexicographic_iou,58,10,8185,0.8529411764705882,0.007036273201504306,0.013957405847671758,0.0
uavdt,uavdt_yolo11m704,absolute,24.0,include_all,greedy_iou,0.25,0.25,439,18,10615,305,0.9606126914660832,0.03971413063144563,0.07627486751802624,hungarian_lexicographic_iou,439,18,10615,0.9606126914660832,0.03971413063144563,0.07627486751802624,0.0
uavdt,uavdt_yolo11m704,absolute,24.0,include_all,greedy_iou,0.25,0.5,330,127,10724,305,0.7221006564551422,0.029853446716120863,0.057336460776648425,hungarian_lexicographic_iou,330,127,10724,0.7221006564551422,0.029853446716120863,0.057336460776648425,0.0
uavdt,uavdt_yolo11m704,absolute,24.0,exclude_without_ignore_protection,greedy_iou,0.25,0.25,438,19,10078,305,0.9584245076586433,0.04165081780144542,0.07983231568395152,hungarian_lexicographic_iou,438,19,10078,0.9584245076586433,0.04165081780144542,0.07983231568395152,0.0
uavdt,uavdt_yolo11m704,absolute,24.0,exclude_without_ignore_protection,greedy_iou,0.25,0.5,329,128,10187,305,0.7199124726477024,0.03128565994674781,0.05996536954342477,hungarian_lexicographic_iou,329,128,10187,0.7199124726477024,0.03128565994674781,0.05996536954342477,0.0
uavdt,uavdt_yolo11m704,absolute,24.0,exclude_with_ignore_protection,greedy_iou,0.25,0.25,438,19,10078,305,0.9584245076586433,0.04165081780144542,0.07983231568395152,hungarian_lexicographic_iou,438,19,10078,0.9584245076586433,0.04165081780144542,0.07983231568395152,0.0
uavdt,uavdt_yolo11m704,absolute,24.0,exclude_with_ignore_protection,greedy_iou,0.25,0.5,329,128,10187,305,0.7199124726477024,0.03128565994674781,0.05996536954342477,hungarian_lexicographic_iou,329,128,10187,0.7199124726477024,0.03128565994674781,0.05996536954342477,0.0
uavdt,uavdt_yolo11m704,normalized,0.015,include_all,greedy_iou,0.25,0.25,439,18,10615,305,0.9606126914660832,0.03971413063144563,0.07627486751802624,hungarian_lexicographic_iou,439,18,10615,0.9606126914660832,0.03971413063144563,0.07627486751802624,0.0
uavdt,uavdt_yolo11m704,normalized,0.015,include_all,greedy_iou,0.25,0.5,330,127,10724,305,0.7221006564551422,0.029853446716120863,0.057336460776648425,hungarian_lexicographic_iou,330,127,10724,0.7221006564551422,0.029853446716120863,0.057336460776648425,0.0
uavdt,uavdt_yolo11m704,normalized,0.015,exclude_without_ignore_protection,greedy_iou,0.25,0.25,411,46,7832,305,0.899343544857768,0.0498604876865219,0.09448275862068965,hungarian_lexicographic_iou,411,46,7832,0.899343544857768,0.0498604876865219,0.09448275862068965,0.0
uavdt,uavdt_yolo11m704,normalized,0.015,exclude_without_ignore_protection,greedy_iou,0.25,0.5,318,139,7925,305,0.6958424507658644,0.038578187553075335,0.07310344827586207,hungarian_lexicographic_iou,318,139,7925,0.6958424507658644,0.038578187553075335,0.07310344827586207,0.0
uavdt,uavdt_yolo11m704,normalized,0.015,exclude_with_ignore_protection,greedy_iou,0.25,0.25,411,46,7832,305,0.899343544857768,0.0498604876865219,0.09448275862068965,hungarian_lexicographic_iou,411,46,7832,0.899343544857768,0.0498604876865219,0.09448275862068965,0.0
uavdt,uavdt_yolo11m704,normalized,0.015,exclude_with_ignore_protection,greedy_iou,0.25,0.5,318,139,7925,305,0.6958424507658644,0.038578187553075335,0.07310344827586207,hungarian_lexicographic_iou,318,139,7925,0.6958424507658644,0.038578187553075335,0.07310344827586207,0.0
uavdt,uavdt_tiling,absolute,24.0,include_all,greedy_iou,0.25,0.25,6940,7886,4114,305,0.46809658707675705,0.6278270309390266,0.5363214837712519,hungarian_lexicographic_iou,6946,7880,4108,0.468501281532443,0.6283698208793197,0.5367851622874807,0.00046367851622886036
uavdt,uavdt_tiling,absolute,24.0,include_all,greedy_iou,0.25,0.5,6186,8640,4868,305,0.41723998381222177,0.5596164284421928,0.47805255023183924,hungarian_lexicographic_iou,6186,8640,4868,0.41723998381222177,0.5596164284421928,0.47805255023183924,0.0
uavdt,uavdt_tiling,absolute,24.0,exclude_without_ignore_protection,greedy_iou,0.25,0.25,6609,8217,3907,305,0.4457709429380817,0.6284709014834537,0.5215847210164942,hungarian_lexicographic_iou,6615,8211,3901,0.4461756373937677,0.6290414606314187,0.5220582432325782,0.00047352221608398803
uavdt,uavdt_tiling,absolute,24.0,exclude_without_ignore_protection,greedy_iou,0.25,0.5,5895,8931,4621,305,0.39761230271145287,0.5605743628756181,0.46523557730250176,hungarian_lexicographic_iou,5895,8931,4621,0.39761230271145287,0.5605743628756181,0.46523557730250176,0.0
uavdt,uavdt_tiling,absolute,24.0,exclude_with_ignore_protection,greedy_iou,0.25,0.25,6609,8217,3907,305,0.4457709429380817,0.6284709014834537,0.5215847210164942,hungarian_lexicographic_iou,6615,8211,3901,0.4461756373937677,0.6290414606314187,0.5220582432325782,0.00047352221608398803
uavdt,uavdt_tiling,absolute,24.0,exclude_with_ignore_protection,greedy_iou,0.25,0.5,5895,8931,4621,305,0.39761230271145287,0.5605743628756181,0.46523557730250176,hungarian_lexicographic_iou,5895,8931,4621,0.39761230271145287,0.5605743628756181,0.46523557730250176,0.0
uavdt,uavdt_tiling,normalized,0.015,include_all,greedy_iou,0.25,0.25,6940,7886,4114,305,0.46809658707675705,0.6278270309390266,0.5363214837712519,hungarian_lexicographic_iou,6946,7880,4108,0.468501281532443,0.6283698208793197,0.5367851622874807,0.00046367851622886036
uavdt,uavdt_tiling,normalized,0.015,include_all,greedy_iou,0.25,0.5,6186,8640,4868,305,0.41723998381222177,0.5596164284421928,0.47805255023183924,hungarian_lexicographic_iou,6186,8640,4868,0.41723998381222177,0.5596164284421928,0.47805255023183924,0.0
uavdt,uavdt_tiling,normalized,0.015,exclude_without_ignore_protection,greedy_iou,0.25,0.25,4688,10138,3555,305,0.3162012680426278,0.5687249787698654,0.4064328752871819,hungarian_lexicographic_iou,4689,10137,3554,0.31626871711857546,0.5688462938250637,0.40651957171962366,8.66964324417463e-05
uavdt,uavdt_tiling,normalized,0.015,exclude_without_ignore_protection,greedy_iou,0.25,0.5,4101,10725,4142,305,0.2766086604613517,0.49751304136843383,0.3555420694438424,hungarian_lexicographic_iou,4101,10725,4142,0.2766086604613517,0.49751304136843383,0.3555420694438424,0.0
uavdt,uavdt_tiling,normalized,0.015,exclude_with_ignore_protection,greedy_iou,0.25,0.25,4688,10138,3555,305,0.3162012680426278,0.5687249787698654,0.4064328752871819,hungarian_lexicographic_iou,4689,10137,3554,0.31626871711857546,0.5688462938250637,0.40651957171962366,8.66964324417463e-05
uavdt,uavdt_tiling,normalized,0.015,exclude_with_ignore_protection,greedy_iou,0.25,0.5,4101,10725,4142,305,0.2766086604613517,0.49751304136843383,0.3555420694438424,hungarian_lexicographic_iou,4101,10725,4142,0.2766086604613517,0.49751304136843383,0.3555420694438424,0.0
aitod,aitod_baseline640,absolute,24.0,include_all,greedy_iou,0.25,0.25,13751,38947,3149,1869,0.2609396941060382,0.8136686390532545,0.39515503319060896,hungarian_lexicographic_iou,13799,38899,3101,0.2618505446126988,0.8165088757396449,0.3965343831719303,0.0013793499813213317
aitod,aitod_baseline640,absolute,24.0,include_all,greedy_iou,0.25,0.5,12556,40142,4344,1869,0.2382633117006338,0.7429585798816568,0.36081496594729734,hungarian_lexicographic_iou,12558,40140,4342,0.238301263805078,0.7430769230769231,0.3608724388631857,5.7472915888368004e-05
aitod,aitod_baseline640,absolute,24.0,exclude_without_ignore_protection,greedy_iou,0.25,0.25,1774,50924,259,1869,0.0336635166419978,0.8726020659124447,0.06482614971405602,hungarian_lexicographic_iou,1775,50923,258,0.03368249269421989,0.8730939498278406,0.06486269207578886,3.6542361732838646e-05
aitod,aitod_baseline640,absolute,24.0,exclude_without_ignore_protection,greedy_iou,0.25,0.5,1694,51004,339,1869,0.03214543246423014,0.8332513526807673,0.06190276077542891,hungarian_lexicographic_iou,1695,51003,338,0.03216440851645224,0.8337432365961633,0.06193930313716176,3.6542361732852524e-05
aitod,aitod_baseline640,absolute,24.0,exclude_with_ignore_protection,greedy_iou,0.25,0.25,1774,50924,259,1869,0.0336635166419978,0.8726020659124447,0.06482614971405602,hungarian_lexicographic_iou,1775,50923,258,0.03368249269421989,0.8730939498278406,0.06486269207578886,3.6542361732838646e-05
aitod,aitod_baseline640,absolute,24.0,exclude_with_ignore_protection,greedy_iou,0.25,0.5,1694,51004,339,1869,0.03214543246423014,0.8332513526807673,0.06190276077542891,hungarian_lexicographic_iou,1695,51003,338,0.03216440851645224,0.8337432365961633,0.06193930313716176,3.6542361732852524e-05
aitod,aitod_baseline640,normalized,0.015,include_all,greedy_iou,0.25,0.25,13751,38947,3149,1869,0.2609396941060382,0.8136686390532545,0.39515503319060896,hungarian_lexicographic_iou,13799,38899,3101,0.2618505446126988,0.8165088757396449,0.3965343831719303,0.0013793499813213317
aitod,aitod_baseline640,normalized,0.015,include_all,greedy_iou,0.25,0.5,12556,40142,4344,1869,0.2382633117006338,0.7429585798816568,0.36081496594729734,hungarian_lexicographic_iou,12558,40140,4342,0.238301263805078,0.7430769230769231,0.3608724388631857,5.7472915888368004e-05
aitod,aitod_baseline640,normalized,0.015,exclude_without_ignore_protection,greedy_iou,0.25,0.25,8044,44654,1309,1869,0.15264336407453793,0.8600449053779536,0.2592705999903305,hungarian_lexicographic_iou,8053,44645,1300,0.1528141485445368,0.8610071634769593,0.2595606839535221,0.0002900839631916341
aitod,aitod_baseline640,normalized,0.015,exclude_without_ignore_protection,greedy_iou,0.25,0.5,7636,45062,1717,1869,0.14490113476792288,0.81642253822303,0.24612012699231278,hungarian_lexicographic_iou,7637,45061,1716,0.14492011082014497,0.8165294557895862,0.24615235854377848,3.2231551465700115e-05
aitod,aitod_baseline640,normalized,0.015,exclude_with_ignore_protection,greedy_iou,0.25,0.25,8044,44654,1309,1869,0.15264336407453793,0.8600449053779536,0.2592705999903305,hungarian_lexicographic_iou,8053,44645,1300,0.1528141485445368,0.8610071634769593,0.2595606839535221,0.0002900839631916341
aitod,aitod_baseline640,normalized,0.015,exclude_with_ignore_protection,greedy_iou,0.25,0.5,7636,45062,1717,1869,0.14490113476792288,0.81642253822303,0.24612012699231278,hungarian_lexicographic_iou,7637,45061,1716,0.14492011082014497,0.8165294557895862,0.24615235854377848,3.2231551465700115e-05
