source,candidate,scale_mode,scale_threshold,small_object_policy,confidence,iou,matching,tp,fp,fn,neutralized_predictions,f1,images
visdrone,visdrone_control_asd1280,absolute,20.0,exclude_source_ignore_off,0.35,0.25,greedy_valid_gt_first_coco_crowd,11541,3296,1999,0,0.8134052225393805,548
visdrone,visdrone_control_asd1280,absolute,20.0,exclude_source_ignore_off,0.35,0.5,greedy_valid_gt_first_coco_crowd,11437,3400,2103,0,0.806075342707122,548
visdrone,visdrone_control_asd1280,absolute,20.0,exclude_source_ignore_off,0.4,0.25,greedy_valid_gt_first_coco_crowd,11184,2629,2356,0,0.817753080100903,548
visdrone,visdrone_control_asd1280,absolute,20.0,exclude_source_ignore_off,0.4,0.5,greedy_valid_gt_first_coco_crowd,11098,2715,2442,0,0.8114649215808138,548
visdrone,visdrone_control_asd1280,absolute,20.0,exclude_source_ignore_off,0.5,0.25,greedy_valid_gt_first_coco_crowd,10353,1697,3187,0,0.8091441969519344,548
visdrone,visdrone_control_asd1280,absolute,20.0,exclude_source_ignore_off,0.5,0.5,greedy_valid_gt_first_coco_crowd,10313,1737,3227,0,0.8060179757717858,548
visdrone,visdrone_control_asd1280,absolute,20.0,exclude_source_ignore_on,0.1,0.25,greedy_valid_gt_first_coco_crowd,12872,10113,668,1686,0.7048323066392882,548
visdrone,visdrone_control_asd1280,absolute,20.0,exclude_source_ignore_on,0.1,0.5,greedy_valid_gt_first_coco_crowd,12589,10395,951,1687,0.6893549446938999,548
visdrone,visdrone_control_asd1280,absolute,20.0,exclude_source_ignore_on,0.15,0.25,greedy_valid_gt_first_coco_crowd,12616,7351,924,1085,0.7530366789029158,548
visdrone,visdrone_control_asd1280,absolute,20.0,exclude_source_ignore_on,0.15,0.5,greedy_valid_gt_first_coco_crowd,12377,7587,1163,1088,0.7388371537726839,548
visdrone,visdrone_control_asd1280,absolute,20.0,exclude_source_ignore_on,0.2,0.25,greedy_valid_gt_first_coco_crowd,12374,5668,1166,737,0.7836109176112975,548
visdrone,visdrone_control_asd1280,absolute,20.0,exclude_source_ignore_on,0.2,0.5,greedy_valid_gt_first_coco_crowd,12155,5885,1385,739,0.7697910069664344,548
visdrone,visdrone_control_asd1280,absolute,20.0,exclude_source_ignore_on,0.25,0.25,greedy_valid_gt_first_coco_crowd,12135,4524,1405,514,0.803668995662108,548
visdrone,visdrone_control_asd1280,absolute,20.0,exclude_source_ignore_on,0.25,0.5,greedy_valid_gt_first_coco_crowd,11950,4707,1590,516,0.7914693512600589,548
visdrone,visdrone_control_asd1280,absolute,20.0,exclude_source_ignore_on,0.3,0.25,greedy_valid_gt_first_coco_crowd,11856,3684,1684,379,0.8154057771664374,548
visdrone,visdrone_control_asd1280,absolute,20.0,exclude_source_ignore_on,0.3,0.5,greedy_valid_gt_first_coco_crowd,11714,3825,1826,380,0.8056673200591492,548
visdrone,visdrone_control_asd1280,absolute,20.0,exclude_source_ignore_on,0.35,0.25,greedy_valid_gt_first_coco_crowd,11541,3013,1999,283,0.8215989179184168,548
visdrone,visdrone_control_asd1280,absolute,20.0,exclude_source_ignore_on,0.35,0.5,greedy_valid_gt_first_coco_crowd,11437,3117,2103,283,0.8141952018224532,548
visdrone,visdrone_control_asd1280,absolute,20.0,exclude_source_ignore_on,0.4,0.25,greedy_valid_gt_first_coco_crowd,11184,2413,2356,216,0.8242620776062203,548
visdrone,visdrone_control_asd1280,absolute,20.0,exclude_source_ignore_on,0.4,0.5,greedy_valid_gt_first_coco_crowd,11098,2499,2442,216,0.8179238677819951,548
visdrone,visdrone_control_asd1280,absolute,20.0,exclude_source_ignore_on,0.5,0.25,greedy_valid_gt_first_coco_crowd,10353,1566,3187,131,0.8133076711575474,548
visdrone,visdrone_control_asd1280,absolute,20.0,exclude_source_ignore_on,0.5,0.5,greedy_valid_gt_first_coco_crowd,10313,1606,3227,131,0.8101653639184572,548
visdrone,visdrone_control_asd1280,absolute,20.0,include_all,0.1,0.25,greedy_valid_gt_first_coco_crowd,15606,9065,1434,0,0.7482918175061735,548
visdrone,visdrone_control_asd1280,absolute,20.0,include_all,0.1,0.5,greedy_valid_gt_first_coco_crowd,15080,9591,1960,0,0.7230706528253937,548
visdrone,visdrone_control_asd1280,absolute,20.0,include_all,0.15,0.25,greedy_valid_gt_first_coco_crowd,15140,5912,1900,0,0.7949175679932794,548
visdrone,visdrone_control_asd1280,absolute,20.0,include_all,0.15,0.5,greedy_valid_gt_first_coco_crowd,14717,6335,2323,0,0.7727081801953166,548
visdrone,visdrone_control_asd1280,absolute,20.0,include_all,0.2,0.25,greedy_valid_gt_first_coco_crowd,14712,4067,2328,0,0.8214634691085737,548
visdrone,visdrone_control_asd1280,absolute,20.0,include_all,0.2,0.5,greedy_valid_gt_first_coco_crowd,14339,4440,2701,0,0.8006365336832407,548
visdrone,visdrone_control_asd1280,absolute,20.0,include_all,0.25,0.25,greedy_valid_gt_first_coco_crowd,14296,2877,2744,0,0.8357057258936661,548
visdrone,visdrone_control_asd1280,absolute,20.0,include_all,0.25,0.5,greedy_valid_gt_first_coco_crowd,14004,3169,3036,0,0.8186361909215795,548
visdrone,visdrone_control_asd1280,absolute,20.0,include_all,0.3,0.25,greedy_valid_gt_first_coco_crowd,13850,2069,3190,0,0.840438120088595,548
