scale_mode,scale_threshold,small_object_policy,confidence,iou,candidate_a,candidate_b,f1_difference_a_minus_b
absolute,16.0,exclude_source_ignore_off,0.5,0.25,visdrone_control_baseline640,visdrone_control_yolo11n_p2_1280,-0.03899396360656504
absolute,16.0,exclude_source_ignore_off,0.5,0.25,visdrone_control_yolo11m_hf640,visdrone_control_yolo11n_p2_1280,0.08488659043162905
absolute,16.0,exclude_source_ignore_off,0.5,0.5,visdrone_control_asd1280,visdrone_control_baseline1280,0.04384925837451503
absolute,16.0,exclude_source_ignore_off,0.5,0.5,visdrone_control_asd1280,visdrone_control_baseline640,0.09934642705360464
absolute,16.0,exclude_source_ignore_off,0.5,0.5,visdrone_control_asd1280,visdrone_control_yolo11m_hf640,-0.02685813115304514
absolute,16.0,exclude_source_ignore_off,0.5,0.5,visdrone_control_asd1280,visdrone_control_yolo11n_p2_1280,0.05511393291067257
absolute,16.0,exclude_source_ignore_off,0.5,0.5,visdrone_control_baseline1280,visdrone_control_baseline640,0.055497168679089603
absolute,16.0,exclude_source_ignore_off,0.5,0.5,visdrone_control_baseline1280,visdrone_control_yolo11m_hf640,-0.07070738952756017
absolute,16.0,exclude_source_ignore_off,0.5,0.5,visdrone_control_baseline1280,visdrone_control_yolo11n_p2_1280,0.011264674536157537
absolute,16.0,exclude_source_ignore_off,0.5,0.5,visdrone_control_baseline640,visdrone_control_yolo11m_hf640,-0.12620455820664978
absolute,16.0,exclude_source_ignore_off,0.5,0.5,visdrone_control_baseline640,visdrone_control_yolo11n_p2_1280,-0.044232494142932066
absolute,16.0,exclude_source_ignore_off,0.5,0.5,visdrone_control_yolo11m_hf640,visdrone_control_yolo11n_p2_1280,0.08197206406371771
absolute,16.0,exclude_source_ignore_on,0.1,0.25,visdrone_control_asd1280,visdrone_control_baseline1280,0.05875505211223597
absolute,16.0,exclude_source_ignore_on,0.1,0.25,visdrone_control_asd1280,visdrone_control_baseline640,0.042942647671675216
absolute,16.0,exclude_source_ignore_on,0.1,0.25,visdrone_control_asd1280,visdrone_control_yolo11m_hf640,-0.08776668593144732
absolute,16.0,exclude_source_ignore_on,0.1,0.25,visdrone_control_asd1280,visdrone_control_yolo11n_p2_1280,0.005543566003807232
absolute,16.0,exclude_source_ignore_on,0.1,0.25,visdrone_control_baseline1280,visdrone_control_baseline640,-0.015812404440560757
